"Story","Title","Result","Date","Stability","Duration (s)"
"Add a new computer to the database","Successfully add a new computer","SUCCESS","2025-02-22T17:26:11.5528051-05:00[America/Bogota]","0.0","64.6"
"Filter failed","Failed filter due user nothing type on filter field","FAILURE","2025-02-22T16:34:14.2070441-05:00[America/Bogota]","0.0","77.43"
